1. Dosya: 2026nin-en-iyi-robot-supurgeleri-temizlik-teknolojilerinde-y.md | Kategori: TEKNOLOJI | Başlık: 2026'nın En İyi Robot Süpürgeleri: Temizlik Teknolojilerinde Yeni Dönem
19. Dosya: anthropicten-yapay-zeka-arenasinda-tarihi-hamle-degerlemesi.md | Kategori: TEKNOLOJI | Başlık: Anthropic'ten Yapay Zeka Arenasında Tarihi Hamle: Değerlemesi Trilyon Dolar Sınırında
20. Dosya: anthropicten-yapay-zeka-dunyasini-sallayan-dev-hamle-965-mil.md | Kategori: TEKNOLOJI | Başlık: Anthropic'ten Yapay Zeka Dünyasını Sallayan Dev Hamle: 965 Milyar Dolarlık Değerleme!
21. Dosya: anthropicten-yeni-donem-claude-opus-48-yapay-zekâ-yeteneklerini-nasil-yukseltiyor.md | Kategori: TEKNOLOJI | Başlık: Anthropic'ten Yeni Dönem: Claude Opus 4.8 Yapay Zekâ Yeteneklerini Nasıl Yükseltiyor?
22. Dosya: antutu-mayis-2026-performans-listesi-android-dunyasinin-en-g.md | Kategori: TEKNOLOJI | Başlık: AnTuTu Mayıs 2026 Performans Listesi: Android Dünyasının En Güçlüleri Belli Oldu
23. Dosya: apple-giyilebilir-teknolojide-yeni-bir-sayfa-aciyor-ilk-akil.md | Kategori: TEKNOLOJI | Başlık: Apple Giyilebilir Teknolojide Yeni Bir Sayfa Açıyor: İlk Akıllı Gözlük Detayları Sızdı
24. Dosya: apple-musice-ucretsiz-katman-geliyor-beta-kodlari-sizdi.md | Kategori: TEKNOLOJI | Başlık: Apple Music'e Ücretsiz Katman Geliyor: Beta Kodları Sızdı
25. Dosya: apple-musicin-gelecegi-sekilleniyor-farkli-abonelik-katmanla.md | Kategori: TEKNOLOJI | Başlık: Apple Music'in Geleceği Şekilleniyor: Farklı Abonelik Katmanları Geliyor
26. Dosya: apple-musicte-yeni-donem-ucretsiz-kullanim-secenegi-yolda-mi.md | Kategori: TEKNOLOJI | Başlık: Apple Music'te Yeni Dönem: Ücretsiz Kullanım Seçeneği Yolda mı?
27. Dosya: appledan-uzun-vadeli-vizyon-iphoneun-20-yilina-ozel-ios-28-c.md | Kategori: TEKNOLOJI | Başlık: Apple'dan Uzun Vadeli Vizyon: iPhone'un 20. Yılına Özel iOS 28 Çalışmaları Başladı
28. Dosya: applein-akilli-ev-ekosistemi-evriliyor-yeni-apple-tv-ve-home.md | Kategori: TEKNOLOJI | Başlık: Apple'ın Akıllı Ev Ekosistemi Evriliyor: Yeni Apple TV ve HomePod Mini Yolda
29. Dosya: applein-yeni-beats-kulakligi-goruntulendi-lamine-yamal-ile-i.md | Kategori: TEKNOLOJI | Başlık: Apple'ın Yeni Beats Kulaklığı Görüntülendi: Lamine Yamal ile İlk Kez Ortaya Çıktı
30. Dosya: arrakisin-gizemli-dunyasi-konsollara-tasiniyor-dune-awakenin.md | Kategori: TEKNOLOJI | Başlık: Arrakis'in Gizemli Dünyası Konsollara Taşınıyor: Dune: Awakening Geliyor
31. Dosya: asus-oyun-dunyasini-bastan-yaziyor-dunyanin-ilk-wi-fi-8-dest.md | Kategori: TEKNOLOJI | Başlık: ASUS, Oyun Dünyasını Baştan Yazıyor: Dünyanın İlk Wi-Fi 8 Destekli ROG Rapture Router'ı Duyuruldu
32. Dosya: asus-rog-xbox-ally-x20-sahneye-cikti-tasinabilir-oyun-dunyas.md | Kategori: TEKNOLOJI | Başlık: Asus ROG Xbox Ally X20 Sahneye Çıktı: Taşınabilir Oyun Dünyasında Sınırlar Zorlanıyor
33. Dosya: asus-vivowatch-6-plus-tanitildi-gelismis-saglik-takibi-bileg.md | Kategori: TEKNOLOJI | Başlık: ASUS VivoWatch 6 Plus Tanıtıldı: Gelişmiş Sağlık Takibi Bileğinizde
34. Dosya: asus-wi-fi-8-cagini-baslatiyor-rog-rapture-gt-bn98-pro-oyunc.md | Kategori: TEKNOLOJI | Başlık: Asus, Wi-Fi 8 Çağını Başlatıyor: ROG Rapture GT-BN98 Pro Oyuncularla Buluşuyor
35. Dosya: avengers-doomsday-icin-geri-sayim-basladi-russo-kardeslerden.md | Kategori: OYUN | Başlık: Avengers: Doomsday İçin Geri Sayım Başladı: Russo Kardeşler'den Heyecan Verici Fragman İpucu
36. Dosya: avrupadan-microsoft-officee-acik-kaynakli-alternatif-euro-of.md | Kategori: TEKNOLOJI | Başlık: Avrupa'dan Microsoft Office'e Açık Kaynaklı Alternatif: Euro-Office Geliyor
37. Dosya: ayda-insan-varligi-icin-tarihi-adim-nasadan-guney-kutbu-ussu.md | Kategori: TEKNOLOJI | Başlık: Ay'da İnsan Varlığı İçin Tarihi Adım: NASA'dan Güney Kutbu Üssü Planı Detayları
38. Dosya: backrooms-deneyimi-bilincaltinin-korkutucu-koridorlarinda-bi.md | Kategori: OYUN | Başlık: Backrooms Deneyimi: Bilinçaltının Korkutucu Koridorlarında Bir Sanatsal Yolculuk
39. Dosya: baldurs-gate-3-dunyasi-sayfalara-tasiniyor-resmi-kitap-kapak.md | Kategori: OYUN | Başlık: Baldur's Gate 3 Dünyası Sayfalara Taşınıyor: Resmi Kitap Kapakları Paylaşıldı
40. Dosya: beklenen-an-geldi-control-resonantin-cikis-tarihi-ve-sasirta.md | Kategori: OYUN | Başlık: Beklenen An Geldi: Control Resonant'ın Çıkış Tarihi ve Şaşırtan Fiyatı Açıklandı
41. Dosya: bellek-dunyasinda-buyuk-hamle-sk-hynix-uretim-kapasitesini-i.md | Kategori: TEKNOLOJI | Başlık: Bellek Dünyasında Büyük Hamle: SK hynix Üretim Kapasitesini İkiye Katlıyor
42. Dosya: bilimin-sinirlari-zorlaniyor-milyar-dolarlik-uzun-yasam-ve-b.md | Kategori: TEKNOLOJI | Başlık: Bilimin Sınırları Zorlanıyor: Milyar Dolarlık Uzun Yaşam ve Biyo-Teknoloji Hamlesi
43. Dosya: bilimkurgu-efsanesi-stargatee-amazon-engeli-yeni-proje-iptal.md | Kategori: DIZI-FILM | Başlık: Bilimkurgu Efsanesi Stargate'e Amazon Engeli: Yeni Proje İptal Edildi
44. Dosya: blue-originden-new-glenn-soku-patlamanin-ardindan-ceo-dave-l.md | Kategori: TEKNOLOJI | Başlık: Blue Origin’den New Glenn Şoku: Patlamanın Ardından CEO Dave Limp’ten Kararlı Mesaj
45. Dosya: bungieden-oyunculara-cagri-marathon-bir-sureligine-ucretsiz.md | Kategori: OYUN | Başlık: Bungie'den Oyunculara Çağrı: Marathon Bir Süreliğine Ücretsiz Erişime Açılıyor!
46. Dosya: buyuk-verinin-sakli-hazinesi-yapisal-olmayan-veri-analizinde.md | Kategori: TEKNOLOJI | Başlık: Büyük Verinin Saklı Hazinesi: Yapısal Olmayan Veri Analizinde Son Yenilikler
47. Dosya: byd-otonom-suruste-guvenceyi-yeniden-tanimliyor-sektorde-bir.md | Kategori: TEKNOLOJI | Başlık: BYD, Otonom Sürüşte Güvenceyi Yeniden Tanımlıyor: Sektörde Bir İlk
48. Dosya: bydden-cigir-acan-yenilik-30cde-12-dakikada-ultra-hizli-elek.md | Kategori: TEKNOLOJI | Başlık: BYD'den Çığır Açan Yenilik: -30°C'de 12 Dakikada Ultra Hızlı Elektrikli Araç Şarjı
49. Dosya: bydden-otonom-suruse-guven-tazeleyen-hamle-kaza-maliyetleri.md | Kategori: TEKNOLOJI | Başlık: BYD'den Otonom Sürüşe Güven Tazeleyen Hamle: Kaza Maliyetleri Artık Kullanıcıların Değil!
50. Dosya: bydden-otonom-suruse-yeni-bir-guvence-anlayisi-kaza-sorumlul.md | Kategori: TEKNOLOJI | Başlık: BYD'den Otonom Sürüşe Yeni Bir Güvence Anlayışı: Kaza Sorumluluğu Kullanıcının Üzerinden Kalkıyor
51. Dosya: call-of-duty-black-ops-serisinde-nostalji-ruzgarlari-yeniden.md | Kategori: OYUN | Başlık: Call of Duty: Black Ops Serisinde Nostalji Rüzgarları: Yeniden Yapım Sızıntıları Gündemde
52. Dosya: call-of-duty-modern-warfare-4-resmen-duyuruldu-ilk-detaylar.md | Kategori: OYUN | Başlık: Call of Duty: Modern Warfare 4 Resmen Duyuruldu! İlk Detaylar ve Yeni Cephe
53. Dosya: call-of-duty-modern-warfare-4-tanitim-fragmaniyla-rekorlari.md | Kategori: OYUN | Başlık: Call of Duty: Modern Warfare 4 Tanıtım Fragmanıyla Rekorları Altüst Etti
54. Dosya: call-of-duty-modern-warfare-4te-radikal-degisim-gercekcilik.md | Kategori: OYUN | Başlık: Call of Duty: Modern Warfare 4’te Radikal Değişim: Gerçekçilik Geri Dönüyor
55. Dosya: call-of-duty-modern-warfare-serisinin-yeni-halkasindan-carpi.md | Kategori: OYUN | Başlık: Call of Duty: Modern Warfare Serisinin Yeni Halkasından Çarpıcı Kampanya Görüntüleri Yayımlandı
56. Dosya: cd-projekt-redden-witcher-3-hamlesi-sistem-gereksinimleri-gu.md | Kategori: TEKNOLOJI | Başlık: CD Projekt RED'den Witcher 3 Hamlesi: Sistem Gereksinimleri Güncellendi
57. Dosya: ciplerde-3d-devrimi-dikey-mimari-ile-moore-yasasina-yeni-bir.md | Kategori: TEKNOLOJI | Başlık: Çiplerde 3D Devrimi: Dikey Mimari ile Moore Yasası'na Yeni Bir Soluk
58. Dosya: claude-aiin-akil-almaz-faturasi-bir-sirketin-tek-ayda-500-mi.md | Kategori: TEKNOLOJI | Başlık: Claude AI'ın Akıl Almaz Faturası: Bir Şirketin Tek Ayda 500 Milyon Dolarlık Harcaması Gündemde
59. Dosya: crimson-desert-icin-buyuk-guncelleme-dalgasi-yeni-yol-harita.md | Kategori: OYUN | Başlık: Crimson Desert İçin Büyük Güncelleme Dalgası: Yeni Yol Haritası Yayında
60. Dosya: dc-evreninde-yeni-bir-donem-supergirl-fragmaniyla-gucunu-kan.md | Kategori: DIZI-FILM | Başlık: DC Evreni'nde Yeni Bir Dönem: Supergirl Fragmanıyla Gücünü Kanıtlıyor
61. Dosya: dc-evreninde-yeni-donem-man-of-tomorrowdan-ilk-lex-luthor-go.md | Kategori: DIZI-FILM | Başlık: DC Evreni'nde Yeni Dönem: Man of Tomorrow'dan İlk Lex Luthor Görseli Geldi
62. Dosya: dc-evreninde-yeni-donem-man-of-tomorrowun-lex-luthor-kostumu.md | Kategori: DIZI-FILM | Başlık: DC Evreninde Yeni Dönem: Man of Tomorrow'un Lex Luthor Kostümü Ortaya Çıktı
63. Dosya: ddr5-ramlerde-yeni-donem-cooler-master-ve-gskillden-aktif-so.md | Kategori: TEKNOLOJI | Başlık: DDR5 RAM'lerde Yeni Dönem: Cooler Master ve G.SKILL'den Aktif Soğutmalı MasterDimm
64. Dosya: dell-xps-13-yenilendi-premium-performans-artik-daha-erisileb.md | Kategori: TEKNOLOJI | Başlık: Dell XPS 13 Yenilendi: Premium Performans Artık Daha Erişilebilir
65. Dosya: divx-bir-zamanlarin-video-sikistirma-krali-neden-tahtindan-i.md | Kategori: TEKNOLOJI | Başlık: DivX: Bir Zamanların Video Sıkıştırma Kralı Neden Tahtından İndi?
66. Dosya: dizustu-bilgisayarlarda-yeni-bir-donem-samsungun-ultra-ince.md | Kategori: TEKNOLOJI | Başlık: Dizüstü Bilgisayarlarda Yeni Bir Dönem: Samsung'un Ultra İnce OLED Panelleri Tanıtıldı
67. Dosya: doganin-gizli-pusulasi-guvercinlerin-yon-bulma-sirri-karacig.md | Kategori: TEKNOLOJI | Başlık: Doğanın Gizli Pusulası: Güvercinlerin Yön Bulma Sırrı Karaciğerde Gizli
68. Dosya: drone-teknolojilerinde-yeni-donem-hg-str-algoritmasi-ile-kes.md | Kategori: TEKNOLOJI | Başlık: Drone Teknolojilerinde Yeni Dönem: HG-STR Algoritması ile Kesintisiz Hedefleme
69. Dosya: dynasty-warriors-3-complete-edition-remastered-ile-efsanevi.md | Kategori: OYUN | Başlık: Dynasty Warriors 3 - Complete Edition: Remastered ile Efsanevi Savaşlar Geri Dönüyor
70. Dosya: efsanevi-film-sahneleri-direksiyon-basinda-stuntman-hollywoo.md | Kategori: OYUN | Başlık: Efsanevi Film Sahneleri Direksiyon Başında: Stuntman: Hollywood Duyuruldu
71. Dosya: ekosistem-sinirlari-kalkiyor-android-ve-iphone-arasinda-dosy.md | Kategori: TEKNOLOJI | Başlık: Ekosistem Sınırları Kalkıyor: Android ve iPhone Arasında Dosya Paylaşımı Genişliyor
72. Dosya: elektrikli-arac-dunyasinda-yeni-bir-donem-lynk-co-10-serisi.md | Kategori: TEKNOLOJI | Başlık: Elektrikli Araç Dünyasında Yeni Bir Dönem: Lynk & Co 10 Serisi Sahneye Çıktı
73. Dosya: elektrikli-araclarda-menzil-devrimi-catlden-1600-kilometreli.md | Kategori: TEKNOLOJI | Başlık: Elektrikli Araçlarda Menzil Devrimi: CATL'den 1.600 Kilometrelik Lityum-Hava Bataryası Hamlesi
74. Dosya: elevenlabs-marvel-efsanesi-stan-leeyi-yapay-zeka-ile-dijital.md | Kategori: TEKNOLOJI | Başlık: ElevenLabs, Marvel Efsanesi Stan Lee'yi Yapay Zeka ile Dijital Dünyaya Taşıyor
75. Dosya: evde-sinema-keyfi-acer-hd1500-projeksiyon-cihazi-tanitildi.md | Kategori: TEKNOLOJI | Başlık: Evde Sinema Keyfi: Acer HD1500 Projeksiyon Cihazı Tanıtıldı
76. Dosya: fable-ertelemesi-resmen-dogrulandi-efsanevi-rpg-icin-2027-he.md | Kategori: OYUN | Başlık: Fable Ertelemesi Resmen Doğrulandı: Efsanevi RPG İçin 2027 Hedeflendi
77. Dosya: fable-hayranlarini-uzecek-haber-efsanevi-rpgnin-cikisi-2027y.md | Kategori: OYUN | Başlık: Fable Hayranlarını Üzecek Haber: Efsanevi RPG'nin Çıkışı 2027'ye Kadar Sarktı
78. Dosya: fable-icin-yeni-bir-bekleyis-basladi-gelistirici-ekip-oyunu.md | Kategori: OYUN | Başlık: Fable İçin Yeni Bir Bekleyiş Başladı: Geliştirici Ekip Oyunu Gelecek Yıla Erteledi
79. Dosya: fable-remakein-beklenen-macerasi-2027ye-ertelendi-oyunculara.md | Kategori: OYUN | Başlık: Fable Remake'in Beklenen Macerası 2027'ye Ertelendi: Oyunculara Sabır Çağrısı
80. Dosya: fable-remakein-cikis-tarihi-resmi-olarak-gelecek-yila-ertele.md | Kategori: OYUN | Başlık: Fable Remake'in Çıkış Tarihi Resmi Olarak 'Gelecek Yıla' Ertelendi: Heyecan Dorukta Bekleyiş Başladı
81. Dosya: fable-yeniden-yapimi-icin-bekleyis-uzuyor-2027-hedefleniyor.md | Kategori: OYUN | Başlık: Fable Yeniden Yapımı İçin Bekleyiş Uzuyor: 2027 Hedefleniyor
82. Dosya: fablein-buyulu-dunyasina-giris-2027ye-uzadi-resmi-aciklama-g.md | Kategori: OYUN | Başlık: Fable'ın Büyülü Dünyasına Giriş 2027'ye Uzadı: Resmi Açıklama Geldi
83. Dosya: fablein-fantastik-dunyasina-yolculuk-uzuyor-cikis-tarihi-202.md | Kategori: OYUN | Başlık: Fable'ın Fantastik Dünyasına Yolculuk Uzuyor: Çıkış Tarihi 2027'ye Ertelendi
84. Dosya: fallout-76-yeni-nesle-gecis-yapiyor-ps5-ve-xbox-series-surum.md | Kategori: OYUN | Başlık: Fallout 76 Yeni Nesle Geçiş Yapıyor: PS5 ve Xbox Series Sürümleri Yolda
85. Dosya: fantastik-diyarin-kapilari-kapaniyor-fable-ertelendi-bekleyi.md | Kategori: OYUN | Başlık: Fantastik Diyarın Kapıları Kapanıyor: Fable Ertelendi, Bekleyiş Uzuyor!
86. Dosya: fiyat-ve-performans-dengesinde-yeni-standart-tecno-camon-40.md | Kategori: TEKNOLOJI | Başlık: Fiyat ve Performans Dengesinde Yeni Standart: TECNO Camon 40 Premier
87. Dosya: forzanin-eski-kreatif-direktorunden-yeni-hamle-clutch-duyuru.md | Kategori: OYUN | Başlık: Forza'nın Eski Kreatif Direktöründen Yeni Hamle: Clutch Duyuruldu
88. Dosya: futbol-dunyasinda-yeni-bir-alternatif-goals-ea-sports-fcye-k.md | Kategori: OYUN | Başlık: Futbol Dünyasında Yeni Bir Alternatif: GOALS, EA Sports FC'ye Karşı Neleri Başardı?
89. Dosya: futbolda-dijital-donusum-2026-dunya-kupasinin-akilli-topu-trionda-sahaya-cikiyor.md | Kategori: TEKNOLOJI | Başlık: Futbolda Dijital Dönüşüm: 2026 Dünya Kupası'nın Akıllı Topu Trionda Sahaya Çıkıyor
90. Dosya: galaksi-yeniden-sallandi-the-mandalorian-and-grogu-sinemalar.md | Kategori: DIZI-FILM | Başlık: Galaksi Yeniden Sallandı: 'The Mandalorian and Grogu' Sinemaları Fethetti!
91. Dosya: gameforgedan-metin2-turkiye-sunucularina-ozel-ikinci-sans-ha.md | Kategori: TEKNOLOJI | Başlık: Gameforge'dan Metin2 Türkiye Sunucularına Özel 'İkinci Şans' Hamlesi: Ban Affı Başladı
92. Dosya: gecmisin-izleri-ve-olumcul-mucadele-silo-3-sezon-fragmani-ya.md | Kategori: DIZI-FILM | Başlık: Geçmişin İzleri ve Ölümcül Mücadele: Silo 3. Sezon Fragmanı Yayında
93. Dosya: geforce-now-kutuphanesi-genisliyor-bulut-oyun-keyfine-8-yeni.md | Kategori: TEKNOLOJI | Başlık: GeForce Now Kütüphanesi Genişliyor: Bulut Oyun Keyfine 8 Yeni Eklenti
94. Dosya: geforce-nowa-bu-hafta-eklenen-yeni-oyunlar-aciklandi-bulut-o.md | Kategori: TEKNOLOJI | Başlık: GeForce Now'a Bu Hafta Eklenen Yeni Oyunlar Açıklandı: Bulut Oyun Deneyimi Genişliyor!
95. Dosya: gise-rekorlarini-altust-eden-backrooms-icin-ikinci-film-hazi.md | Kategori: DIZI-FILM | Başlık: Gişe Rekorlarını Altüst Eden 'Backrooms' İçin İkinci Film Hazırlıkları Başladı
96. Dosya: giyilebilir-teknolojide-yeni-bir-soluk-acer-aspire-badge-tan.md | Kategori: TEKNOLOJI | Başlık: Giyilebilir Teknolojide Yeni Bir Soluk: Acer Aspire Badge Tanıtıldı
97. Dosya: gizem-perdesi-aralaniyor-hands-overdan-ilk-ekran-goruntuleri-nefes-kesti.md | Kategori: OYUN | Başlık: Gizem Perdesi Aralanıyor: 'Hands Over'dan İlk Ekran Görüntüleri Nefes Kesti!
98. Dosya: glp-1-temelli-ilaclar-meme-kanseri-riskini-azaltiyor-carpici.md | Kategori: TEKNOLOJI | Başlık: GLP-1 Temelli İlaçlar Meme Kanseri Riskini Azaltıyor: Çarpıcı Bilimsel Bulgular
99. Dosya: gog-turkiye-icin-bolgesel-fiyatlandirma-ve-turk-lirasi-deste.md | Kategori: TEKNOLOJI | Başlık: GOG, Türkiye İçin Bölgesel Fiyatlandırma ve Türk Lirası Desteğini Başlattı
100. Dosya: gogdan-turk-oyunculara-mujde-yerel-fiyatlandirma-ve-tl-deste.md | Kategori: TEKNOLOJI | Başlık: GOG'dan Türk Oyunculara Müjde: Yerel Fiyatlandırma ve TL Desteği Geldi!
101. Dosya: gokbilimciler-uzayin-gizemli-radyo-sinyallerinin-kaynagini-b.md | Kategori: TEKNOLOJI | Başlık: Gökbilimciler Uzayın Gizemli Radyo Sinyallerinin Kaynağını Bulmuş Olabilir
102. Dosya: google-drive-belge-tarama-ozelligi-evriliyor-daha-hizli-ve-d.md | Kategori: TEKNOLOJI | Başlık: Google Drive Belge Tarama Özelliği Evriliyor: Daha Hızlı ve Daha Akıllı
103. Dosya: google-gemini-kullanim-modeli-degisiyor-yapay-zeka-deneyiminde-neler-bekleniyor.md | Kategori: TEKNOLOJI | Başlık: Google Gemini Kullanım Modeli Değişiyor: Yapay Zeka Deneyiminde Neler Bekleniyor?
104. Dosya: googledan-guvenlik-hamlesi-android-cihazlara-sahte-arama-alg.md | Kategori: TEKNOLOJI | Başlık: Google'dan Güvenlik Hamlesi: Android Cihazlara Sahte Arama Algılama Özelliği Geliyor
105. Dosya: googlein-gizli-prototipi-deniz-altinda-bulundu-pixel-watch-5.md | Kategori: TEKNOLOJI | Başlık: Google'ın Gizli Prototipi Deniz Altında Bulundu: Pixel Watch 5 İlk Kez Görüldü
106. Dosya: gorsel-solen-basliyor-alienwareden-dunyanin-ilk-rgb-seritli.md | Kategori: TEKNOLOJI | Başlık: Görsel Şölen Başlıyor: Alienware'den Dünyanın İlk RGB Şeritli 39 İnç 5K OLED Monitörü
107. Dosya: gta-6-icin-geri-sayim-hiz-kesmeden-devam-ediyor-rockstar-gam.md | Kategori: OYUN | Başlık: GTA 6 İçin Geri Sayım Hız Kesmeden Devam Ediyor: Rockstar Games'ten Yeni Detaylar
108. Dosya: guc-ve-esneklik-bir-arada-msi-ilk-rtx-spark-destekli-prestig.md | Kategori: TEKNOLOJI | Başlık: Güç ve Esneklik Bir Arada: MSI, İlk RTX Spark Destekli Prestige N16 Flip AI+ Modelini Tanıttı
109. Dosya: gunes-panelli-otomobiller-hayal-degil-gunde-30-km-ek-menzil.md | Kategori: TEKNOLOJI | Başlık: Güneş Panelli Otomobiller Hayal Değil: Günde 30 Km Ek Menzil Gerçekleşebilir mi?
110. Dosya: hands-over-duyuruldu-cocuk-oyunlarinin-olumcul-golgesi-sahne.md | Kategori: OYUN | Başlık: Hands Over Duyuruldu: Çocuk Oyunlarının Ölümcül Gölgesi Sahneye Çıkıyor
111. Dosya: hands-over-duyuruldu-cocukluk-oyunlari-artik-birer-korku-deneyimi.md | Kategori: OYUN | Başlık: Hands Over Duyuruldu: Çocukluk Oyunları Artık Birer Korku Deneyimi
112. Dosya: hands-over-ile-oyun-alanlari-olumcul-bir-kabusa-donusuyor-ye.md | Kategori: OYUN | Başlık: Hands Over ile Oyun Alanları Ölümcül Bir Kabusa Dönüşüyor: Yeni Korku-Parti Oyunu Duyuruldu
113. Dosya: hastaliklarla-mucadelede-biyoteknolojik-hamle-google-32-mily.md | Kategori: TEKNOLOJI | Başlık: Hastalıklarla Mücadelede Biyoteknolojik Hamle: Google 32 Milyon Sivrisineği Doğaya Salıyor
114. Dosya: haziran-2026da-oyun-dunyasi-durmuyor-yeni-yapimlar-yolda.md | Kategori: TEKNOLOJI | Başlık: Haziran 2026'da Oyun Dünyası Durmuyor: Yeni Yapımlar Yolda
115. Dosya: hondadan-batarya-teknolojisine-stratejik-yatirim-silikon-ano.md | Kategori: TEKNOLOJI | Başlık: Honda'dan Batarya Teknolojisine Stratejik Yatırım: Silikon Anot Dönemi Başlıyor
116. Dosya: honor-win-turbo-sahneye-cikti-dev-batarya-ve-sinir-tanimaz-d.md | Kategori: TEKNOLOJI | Başlık: Honor Win Turbo Sahneye Çıktı: Dev Batarya ve Sınır Tanımaz Dayanıklılık Bir Arada
117. Dosya: honor-win-turbo-tanitildi-dev-batarya-ve-guclu-donanimin-bulustugu-yeni-nesil-akilli-telefon.md | Kategori: TEKNOLOJI | Başlık: Honor Win Turbo Tanıtıldı: Dev Batarya ve Güçlü Donanımın Buluştuğu Yeni Nesil Akıllı Telefon
118. Dosya: honor-x7e-sahneye-cikti-giris-segmentinde-yeni-bir-alternati.md | Kategori: TEKNOLOJI | Başlık: HONOR X7e Sahneye Çıktı: Giriş Segmentinde Yeni Bir Alternatif
119. Dosya: honorun-butce-dostu-yeni-uyesi-honor-x7e-tanitildi.md | Kategori: TEKNOLOJI | Başlık: HONOR’un Bütçe Dostu Yeni Üyesi: HONOR X7e Tanıtıldı
120. Dosya: hp-omnibook-serisi-nvidia-rtx-spark-ile-12k-video-duzenleme.md | Kategori: TEKNOLOJI | Başlık: HP OmniBook Serisi: Nvidia RTX Spark ile 12K Video Düzenleme Artık Taşınabilir
